Name,Team,IP,BF,SO,G,Name-additional,Name_std,Name_stat,Str_pct,SwStr_pct,CS_pct,FB_vel,FB_spin,Rel_ext,IP_G,BF_IP
Mitchell Parker,WSN,91.1,393,3.6470588235294117,17,parkemi01,Mitchell Parker,"Parker, Mitchell",0.4502583979328165,0.09431524547803617,0.14922480620155038,88.62330163043478,2008.023777173913,6.834466349422161,5.358823529411764,4.313940724478595
Taj Bradley,TBR,92.0,390,4.647058823529412,17,bradlta01,Taj Bradley,"Bradley, Taj",0.4468491406747295,0.09929980903882878,0.1457670273711012,91.90574257425743,2212.325412541254,6.344554455445545,5.411764705882353,4.239130434782608
Chris Paddack,MIN,90.0,380,3.7058823529411766,17,paddach01,Chris Paddack,"Paddack, Chris",0.45182926829268294,0.09878048780487805,0.13719512195121952,88.50646735814522,2084.1146341463414,6.966076876143991,5.294117647058823,4.222222222222222
Jeffrey Springs,ATH,92.0,390,4.411764705882353,17,sprinje01,Jeffrey Springs,"Springs, Jeffrey",0.4519002375296912,0.11223277909738717,0.166270783847981,85.17877204441542,1982.5911169170477,6.335009797517962,5.411764705882353,4.239130434782608
Luis L. Ortiz,CLE,88.2,382,6.0,16,ortizlu02,Luis L. Ortiz,"Ortiz, Luis L.",0.4789156626506024,0.11686746987951807,0.1789156626506024,91.83090361445782,2216.8186746987953,6.721036769138036,5.5125,4.331065759637188
Shane Baz,TBR,90.2,379,5.375,16,bazsh01,Shane Baz,"Baz, Shane",0.47440273037542663,0.10648464163822526,0.16996587030716723,91.14341296928328,2485.8559726962458,6.429283276450512,5.6375,4.201773835920177
Tanner Bibee,CLE,94.2,393,5.125,16,bibeeta01,Tanner Bibee,"Bibee, Tanner",0.4548139397519197,0.09864146485528648,0.18251624335499114,88.23410165484634,2387.566193853428,6.6656416321703125,5.8875,4.171974522292993
Kyle Hendricks,LAA,87.0,371,3.75,16,hendrky01,Kyle Hendricks,"Hendricks, Kyle",0.465359477124183,0.07320261437908497,0.2,82.17621818181817,2120.9018181818183,5.491636363636363,5.4375,4.264367816091954
Grant Holmes,ATL,90.0,376,6.0588235294117645,17,holmegr01,Grant Holmes,"Holmes, Grant",0.47732997481108314,0.1253148614609572,0.1530226700251889,89.33501259445843,2599.5746691871454,6.024118387909319,5.294117647058823,4.177777777777778
Erick Fedde,STL,87.2,374,3.5625,16,feddeer01,Erick Fedde,"Fedde, Erick",0.4172523961661342,0.06900958466453674,0.16805111821086263,88.85283400809716,2094.7503373819163,6.6469635627530375,5.45,4.2889908256880735
Andre Pallante,STL,87.1,375,3.75,16,pallaan01,Andre Pallante,"Pallante, Andre",0.41152542372881357,0.10305084745762712,0.14440677966101695,90.69342372881356,2369.6433898305086,6.543389830508475,5.44375,4.305396096440873
Michael Lorenzen,KCR,88.0,381,4.5625,16,lorenmi01,Michael Lorenzen,"Lorenzen, Michael",0.4435994930291508,0.09695817490494296,0.15652724968314322,88.36177777777777,2324.4203174603176,5.885714285714286,5.5,4.329545454545454
Tyler Anderson,LAA,85.2,375,4.375,16,anderty01,Tyler Anderson,"Anderson, Tyler",0.46296296296296297,0.11877394636015326,0.14495530012771393,83.98197050938339,2118.421581769437,5.995040214477212,5.325,4.401408450704225
Zack Littell,TBR,104.2,416,4.176470588235294,17,litteza01,Zack Littell,"Littell, Zack",0.4633228840125392,0.09529780564263322,0.1561128526645768,87.68197481776009,1847.4575596816976,6.239655172413794,6.129411764705883,3.9923224568138194
JP Sears,ATH,86.2,372,3.9411764705882355,17,searsjp01,JP Sears,"Sears, JP",0.4478340451494814,0.08053691275167785,0.16656497864551556,85.4157413056742,2036.5985356924955,6.3633923123856,5.070588235294117,4.315545243619489
Bailey Ober,MIN,92.0,406,4.352941176470588,17,oberba01,Bailey Ober,"Ober, Bailey",0.4676214196762142,0.11519302615193026,0.16189290161892902,85.43829252981796,2116.9441305712494,7.324135763670648,5.411764705882353,4.413043478260869
Andrew Heaney,PIT,86.1,363,4.0,16,heanean01,Andrew Heaney,"Heaney, Andrew",0.4422145328719723,0.09134948096885813,0.16124567474048443,85.48073859522086,2363.5582910934104,6.313106444605359,5.38125,4.21602787456446
Jameson Taillon,CHC,95.1,388,4.352941176470588,17,taillja01,Jameson Taillon,"Taillon, Jameson",0.4784263959390863,0.09961928934010152,0.18781725888324874,86.79919624916276,2381.025452109846,6.7168117883456135,5.594117647058823,4.079915878023134
Tomoyuki Sugano,BAL,88.2,373,3.25,16,suganto01,Tomoyuki Sugano,"Sugano, Tomoyuki",0.4224021592442645,0.08029689608636977,0.15856950067476383,87.12777380100215,2260.4652827487475,6.221832498210451,5.5125,4.229024943310657
Jake Irvin,WSN,99.0,423,4.176470588235294,17,irvinja01,Jake Irvin,"Irvin, Jake",0.4507552870090634,0.07613293051359517,0.18610271903323264,86.31716012084591,2362.4126888217525,7.005256797583082,5.823529411764706,4.2727272727272725
Randy Vasquez,SDP,84.1,366,2.823529411764706,17,,Randy Vasquez,"Vásquez, Randy",0.429075511644319,0.07198306280875089,0.16654904728299225,88.48252002913328,2558.518572469046,6.182811361981063,4.947058823529411,4.3519619500594535
Brandon Pfaadt,ARI,85.1,377,4.235294117647059,17,pfaadbr01,Brandon Pfaadt,"Pfaadt, Brandon",0.4550526968381897,0.09919404835709858,0.15499070055796652,89.535833849969,2548.301369863014,6.600185988840669,5.0058823529411764,4.430082256169213
Jack Kochanowicz,LAA,86.0,376,3.588235294117647,17,kochaja01,Jack Kochanowicz,"Kochanowicz, Jack",0.42493472584856395,0.08942558746736293,0.1481723237597911,92.84750853242319,2291.205460750853,6.443617747440273,5.0588235294117645,4.372093023255814
Zac Gallen,ARI,97.0,423,5.176470588235294,17,galleza01,Zac Gallen,"Gallen, Zac",0.4376119402985075,0.09671641791044776,0.18507462686567164,88.63982089552239,2259.610746268657,6.523880597014926,5.705882352941177,4.360824742268041
